Order Date,Order Number,Index,Item Name,Price,Quantity,Total
2019-05-07 08:17:29,1,4,Rice and Curry Chicken,200,1,200
2019-05-07 08:22:21,2,4,Rice and Curry Chicken,200,1,200
2019-05-07 08:36:31,3,1,Rice and Curry Vegetable,170,2,340
2019-05-07 09:20:26,4,2,Rice and Curry Egg,190,3,570
2019-05-07 09:33:18,5,9,Egg Biriyani,250,1,250
2019-05-07 09:35:42,6,4,Rice and Curry Chicken,200,3,600
2019-05-07 09:47:14,7,2,Rice and Curry Egg,190,1,190
2019-05-07 09:57:10,8,4,Rice and Curry Chicken,200,2,400
2019-05-07 10:00:31,9,1,Rice and Curry Vegetable,170,2,340
2019-05-07 10:13:26,10,1,Rice and Curry Vegetable,170,2,340
2019-05-07 10:32:31,11,6,Chicken Rice,320,2,640
2019-05-07 10:35:08,12,8,Chicken Kottu,280,1,280
2019-05-07 10:41:25,13,9,Egg Biriyani,250,2,500
2019-05-07 11:10:37,14,9,Egg Biriyani,250,2,500
2019-05-07 11:14:25,15,4,Rice and Curry Chicken,200,2,400
2019-05-07 11:27:55,16,2,Rice and Curry Egg,190,1,190
2019-05-07 11:31:29,17,10,Chicken Biriyani,360,1,360
2019-05-07 11:45:11,18,1,Rice and Curry Vegetable,170,1,170
2019-05-07 12:12:11,19,6,Chicken Rice,320,1,320
2019-05-07 12:21:44,20,1,Rice and Curry Vegetable,170,1,170
2019-05-07 12:29:17,21,2,Rice and Curry Egg,190,3,570
2019-05-07 12:33:07,22,4,Rice and Curry Chicken,200,1,200
2019-05-07 12:34:18,23,6,Chicken Rice,320,1,320
2019-05-07 12:34:24,24,2,Rice and Curry Egg,190,1,190
2019-05-07 12:39:18,25,4,Rice and Curry Chicken,200,1,200
2019-05-07 12:50:43,26,5,Egg Rice,200,1,200
2019-05-07 13:31:37,27,5,Egg Rice,200,1,200
2019-05-07 13:33:47,28,9,Egg Biriyani,250,1,250
2019-05-07 13:40:36,29,6,Chicken Rice,320,2,640
2019-05-07 14:24:51,30,7,Egg Kottu,200,1,200
2019-05-07 14:30:45,31,8,Chicken Kottu,280,1,280
2019-05-07 14:30:48,32,8,Chicken Kottu,280,2,560
2019-05-07 14:51:50,33,7,Egg Kottu,200,3,600
2019-05-07 14:58:21,34,6,Chicken Rice,320,2,640
2019-05-07 15:19:16,35,6,Chicken Rice,320,1,320
2019-05-07 15:33:23,36,4,Rice and Curry Chicken,200,1,200
2019-05-07 15:35:40,37,5,Egg Rice,200,1,200
2019-05-07 15:44:16,38,7,Egg Kottu,200,1,200
2019-05-07 15:44:46,39,6,Chicken Rice,320,2,640
2019-05-07 15:59:01,40,3,Rice and Curry Fish,200,1,200
2019-05-07 16:10:29,41,7,Egg Kottu,200,2,400
2019-05-07 16:10:46,42,3,Rice and Curry Fish,200,1,200
2019-05-07 16:15:41,43,5,Egg Rice,200,1,200
2019-05-07 17:11:33,44,8,Chicken Kottu,280,1,280
2019-05-07 17:33:23,45,4,Rice and Curry Chicken,200,2,400
2019-05-07 17:53:15,46,4,Rice and Curry Chicken,200,1,200
2019-05-07 18:06:48,47,2,Rice and Curry Egg,190,2,380
2019-05-07 18:17:08,48,3,Rice and Curry Fish,200,3,600
2019-05-07 18:34:20,49,8,Chicken Kottu,280,1,280
2019-05-07 18:37:51,50,2,Rice and Curry Egg,190,2,380
2019-05-07 18:57:17,51,6,Chicken Rice,320,1,320
2019-05-07 19:09:06,52,4,Rice and Curry Chicken,200,3,600
2019-05-07 19:15:44,53,5,Egg Rice,200,3,600
2019-05-07 19:19:52,54,4,Rice and Curry Chicken,200,2,400
2019-05-07 19:22:37,55,6,Chicken Rice,320,1,320
2019-05-07 19:31:28,56,4,Rice and Curry Chicken,200,3,600
2019-05-07 19:36:17,57,6,Chicken Rice,320,1,320
2019-05-08 08:37:54,58,6,Chicken Rice,320,3,960
2019-05-08 08:39:25,59,10,Chicken Biriyani,360,1,360
2019-05-08 08:44:21,60,4,Rice and Curry Chicken,200,1,200
2019-05-08 08:47:10,61,3,Rice and Curry Fish,200,1,200
2019-05-08 08:50:50,62,1,Rice and Curry Vegetable,170,2,340
2019-05-08 08:56:23,63,10,Chicken Biriyani,360,2,720
2019-05-08 09:03:48,64,6,Chicken Rice,320,3,960
2019-05-08 09:08:51,65,8,Chicken Kottu,280,2,560
2019-05-08 09:30:01,66,5,Egg Rice,200,3,600
2019-05-08 10:02:43,67,4,Rice and Curry Chicken,200,3,600
2019-05-08 10:48:19,68,5,Egg Rice,200,3,600
2019-05-08 10:57:16,69,6,Chicken Rice,320,1,320
2019-05-08 11:10:48,70,7,Egg Kottu,200,2,400
2019-05-08 12:21:32,71,7,Egg Kottu,200,3,600
2019-05-08 12:55:46,72,10,Chicken Biriyani,360,1,360
2019-05-08 13:13:45,73,7,Egg Kottu,200,1,200
2019-05-08 13:21:53,74,6,Chicken Rice,320,1,320
2019-05-08 13:44:29,75,4,Rice and Curry Chicken,200,3,600
2019-05-08 13:52:03,76,8,Chicken Kottu,280,3,840
2019-05-08 14:04:47,77,4,Rice and Curry Chicken,200,1,200
2019-05-08 14:21:28,78,6,Chicken Rice,320,2,640
2019-05-08 14:28:40,79,6,Chicken Rice,320,1,320
2019-05-08 14:45:13,80,3,Rice and Curry Fish,200,2,400
2019-05-08 14:54:26,81,8,Chicken Kottu,280,1,280
2019-05-08 15:09:48,82,6,Chicken Rice,320,2,640
2019-05-08 15:14:56,83,7,Egg Kottu,200,3,600
2019-05-08 15:31:13,84,8,Chicken Kottu,280,3,840
2019-05-08 15:46:48,85,9,Egg Biriyani,250,1,250
2019-05-08 15:48:57,86,4,Rice and Curry Chicken,200,1,200
2019-05-08 15:49:38,87,6,Chicken Rice,320,2,640
2019-05-08 16:10:51,88,5,Egg Rice,200,3,600
2019-05-08 16:38:18,89,7,Egg Kottu,200,2,400
2019-05-08 16:48:53,90,5,Egg Rice,200,2,400
2019-05-08 16:50:54,91,4,Rice and Curry Chicken,200,1,200
2019-05-08 17:35:28,92,7,Egg Kottu,200,1,200
2019-05-08 17:40:16,93,7,Egg Kottu,200,2,400
2019-05-08 18:26:31,94,7,Egg Kottu,200,1,200
2019-05-08 18:36:28,95,8,Chicken Kottu,280,1,280
2019-05-08 18:38:22,96,4,Rice and Curry Chicken,200,1,200
2019-05-08 18:38:36,97,8,Chicken Kottu,280,1,280
2019-05-08 18:43:18,98,10,Chicken Biriyani,360,3,1080
2019-05-08 19:06:20,99,8,Chicken Kottu,280,1,280
2019-05-08 19:21:41,100,8,Chicken Kottu,280,1,280
2019-05-09 08:02:01,101,10,Chicken Biriyani,360,1,360
2019-05-09 08:19:01,102,9,Egg Biriyani,250,2,500
2019-05-09 08:35:06,103,8,Chicken Kottu,280,2,560
2019-05-09 08:49:15,104,6,Chicken Rice,320,1,320
2019-05-09 09:34:00,105,1,Rice and Curry Vegetable,170,2,340
2019-05-09 09:54:16,106,4,Rice and Curry Chicken,200,1,200
2019-05-09 09:58:52,107,6,Chicken Rice,320,1,320
2019-05-09 10:13:51,108,4,Rice and Curry Chicken,200,2,400
2019-05-09 10:27:51,109,6,Chicken Rice,320,2,640
2019-05-09 10:27:59,110,9,Egg Biriyani,250,3,750
2019-05-09 10:32:20,111,4,Rice and Curry Chicken,200,1,200
2019-05-09 10:39:52,112,10,Chicken Biriyani,360,1,360
2019-05-09 10:53:23,113,8,Chicken Kottu,280,2,560
2019-05-09 11:08:11,114,5,Egg Rice,200,3,600
2019-05-09 11:31:04,115,4,Rice and Curry Chicken,200,2,400
2019-05-09 11:39:58,116,7,Egg Kottu,200,1,200
2019-05-09 12:07:15,117,3,Rice and Curry Fish,200,1,200
2019-05-09 12:08:05,118,3,Rice and Curry Fish,200,2,400
2019-05-09 12:50:15,119,8,Chicken Kottu,280,1,280
2019-05-09 13:20:01,120,3,Rice and Curry Fish,200,2,400
2019-05-09 13:21:16,121,3,Rice and Curry Fish,200,2,400
2019-05-09 13:40:37,122,3,Rice and Curry Fish,200,1,200
2019-05-09 13:43:14,123,7,Egg Kottu,200,1,200
2019-05-09 13:59:16,124,3,Rice and Curry Fish,200,1,200
2019-05-09 14:13:18,125,7,Egg Kottu,200,1,200
2019-05-09 14:22:46,126,1,Rice and Curry Vegetable,170,1,170
2019-05-09 14:56:34,127,6,Chicken Rice,320,3,960
2019-05-09 15:02:10,128,7,Egg Kottu,200,1,200
2019-05-09 15:03:58,129,10,Chicken Biriyani,360,2,720
2019-05-09 15:26:57,130,4,Rice and Curry Chicken,200,3,600
2019-05-09 15:48:46,131,8,Chicken Kottu,280,1,280
2019-05-09 15:55:29,132,6,Chicken Rice,320,2,640
2019-05-09 15:58:54,133,2,Rice and Curry Egg,190,1,190
2019-05-09 16:14:47,134,2,Rice and Curry Egg,190,1,190
2019-05-09 16:18:08,135,2,Rice and Curry Egg,190,2,380
2019-05-09 16:18:34,136,8,Chicken Kottu,280,2,560
2019-05-09 16:27:55,137,2,Rice and Curry Egg,190,1,190
2019-05-09 16:44:25,138,8,Chicken Kottu,280,1,280
2019-05-09 16:52:21,139,2,Rice and Curry Egg,190,2,380
2019-05-09 17:21:13,140,10,Chicken Biriyani,360,1,360
2019-05-09 17:24:57,141,9,Egg Biriyani,250,3,750
2019-05-09 17:33:21,142,10,Chicken Biriyani,360,1,360
2019-05-09 17:52:35,143,7,Egg Kottu,200,1,200
2019-05-09 18:01:15,144,9,Egg Biriyani,250,2,500
2019-05-09 18:07:14,145,7,Egg Kottu,200,2,400
2019-05-09 18:20:51,146,4,Rice and Curry Chicken,200,3,600
2019-05-09 18:29:05,147,8,Chicken Kottu,280,1,280
2019-05-09 18:44:00,148,6,Chicken Rice,320,1,320
2019-05-09 19:15:33,149,4,Rice and Curry Chicken,200,2,400
2019-05-09 19:37:50,150,3,Rice and Curry Fish,200,1,200
2019-05-09 19:41:18,151,10,Chicken Biriyani,360,1,360
2019-05-09 19:56:09,152,9,Egg Biriyani,250,1,250
2019-05-10 08:24:28,153,4,Rice and Curry Chicken,200,1,200
2019-05-10 08:27:16,154,8,Chicken Kottu,280,1,280
2019-05-10 09:36:06,155,1,Rice and Curry Vegetable,170,2,340
2019-05-10 09:43:39,156,5,Egg Rice,200,1,200
2019-05-10 09:47:28,157,5,Egg Rice,200,1,200
