Date,Order Number,Index,Name,Price,Quantity,Total
2020-06-08 08:25:18,1,4,Rice and Curry Chicken,200,2,400
2020-06-08 08:28:10,2,7,Egg Kottu,200,1,200
2020-06-08 08:33:34,3,7,Egg Kottu,200,2,400
2020-06-08 09:12:43,4,6,Chicken Rice,320,1,320
2020-06-08 09:35:01,5,8,Chicken Kottu,280,1,280
2020-06-08 09:35:29,6,8,Chicken Kottu,280,1,280
2020-06-08 09:54:12,7,6,Chicken Rice,320,2,640
2020-06-08 10:00:47,8,5,Egg Rice,200,3,600
2020-06-08 10:27:29,9,8,Chicken Kottu,280,1,280
2020-06-08 10:38:14,10,7,Egg Kottu,200,1,200
2020-06-08 11:08:27,11,10,Chicken Biriyani,360,1,360
2020-06-08 11:28:15,12,4,Rice and Curry Chicken,200,1,200
2020-06-08 11:39:24,13,8,Chicken Kottu,280,1,280
2020-06-08 11:50:42,14,10,Chicken Biriyani,360,1,360
2020-06-08 12:04:31,15,5,Egg Rice,200,2,400
2020-06-08 12:17:01,16,10,Chicken Biriyani,360,2,720
2020-06-08 12:46:28,17,3,Rice and Curry Fish,200,1,200
2020-06-08 13:11:05,18,6,Chicken Rice,320,1,320
2020-06-08 13:28:18,19,6,Chicken Rice,320,1,320
2020-06-08 13:44:10,20,6,Chicken Rice,320,1,320
2020-06-08 14:22:42,21,4,Rice and Curry Chicken,200,2,400
2020-06-08 14:44:09,22,6,Chicken Rice,320,4,1280
2020-06-08 14:49:47,23,8,Chicken Kottu,280,2,560
2020-06-08 14:52:28,24,5,Egg Rice,200,1,200
2020-06-08 14:56:33,25,4,Rice and Curry Chicken,200,3,600
2020-06-08 15:00:04,26,4,Rice and Curry Chicken,200,1,200
2020-06-08 15:02:41,27,3,Rice and Curry Fish,200,1,200
2020-06-08 15:14:50,28,8,Chicken Kottu,280,1,280
2020-06-08 15:24:51,29,10,Chicken Biriyani,360,2,720
2020-06-08 15:35:58,30,8,Chicken Kottu,280,3,840
2020-06-08 15:37:01,31,3,Rice and Curry Fish,200,2,400
2020-06-08 16:06:27,32,6,Chicken Rice,320,4,1280
2020-06-08 16:08:03,33,5,Egg Rice,200,1,200
2020-06-08 16:08:03,34,5,Egg Rice,200,2,400
2020-06-08 16:26:33,35,2,Rice and Curry Egg,190,2,380
2020-06-08 16:31:19,36,3,Rice and Curry Fish,200,3,600
2020-06-08 16:34:28,37,7,Egg Kottu,200,1,200
2020-06-08 17:20:20,38,5,Egg Rice,200,5,1000
2020-06-08 17:36:32,39,1,Rice and Curry Vegetable,170,2,340
2020-06-08 18:06:12,40,4,Rice and Curry Chicken,200,1,200
2020-06-08 18:53:55,41,6,Chicken Rice,320,2,640
2020-06-08 19:45:06,42,10,Chicken Biriyani,360,5,1800
2020-06-08 19:47:46,43,6,Chicken Rice,320,1,320
2020-06-09 08:09:50,44,9,Egg Biriyani,250,3,750
2020-06-09 08:26:24,45,8,Chicken Kottu,280,1,280
2020-06-09 08:45:36,46,3,Rice and Curry Fish,200,1,200
2020-06-09 08:48:14,47,8,Chicken Kottu,280,1,280
2020-06-09 08:49:31,48,6,Chicken Rice,320,1,320
2020-06-09 08:49:44,49,3,Rice and Curry Fish,200,5,1000
2020-06-09 09:07:53,50,1,Rice and Curry Vegetable,170,1,170
2020-06-09 09:08:46,51,8,Chicken Kottu,280,1,280
2020-06-09 09:33:32,52,5,Egg Rice,200,4,800
2020-06-09 09:35:50,53,5,Egg Rice,200,2,400
2020-06-09 09:44:12,54,9,Egg Biriyani,250,3,750
2020-06-09 10:08:03,55,10,Chicken Biriyani,360,1,360
2020-06-09 10:14:08,56,9,Egg Biriyani,250,1,250
2020-06-09 10:51:49,57,3,Rice and Curry Fish,200,1,200
2020-06-09 10:58:01,58,6,Chicken Rice,320,1,320
2020-06-09 11:47:01,59,3,Rice and Curry Fish,200,1,200
2020-06-09 11:53:37,60,5,Egg Rice,200,3,600
2020-06-09 11:57:58,61,4,Rice and Curry Chicken,200,1,200
2020-06-09 11:58:58,62,3,Rice and Curry Fish,200,1,200
2020-06-09 12:02:11,63,3,Rice and Curry Fish,200,5,1000
